id,symbol,name,priceUsd,marketCapUsd,volumeUsd24Hr,last_updated
bitcoin,BTC,Bitcoin,77973.89999999998,1561986810232.5,23376490073.30603,2026-05-21 02:49:05
ethereum,ETH,Ethereum,2143.07,258637818684.56873,8196417652.42382,2026-05-21 02:49:05
tether,USDT,Tether USDt,0.99933038,189715237267.9096,534328922.2127108,2026-05-21 02:49:05
binance-coin,BNB,BNB,654.5,88216872572.29001,556051834.031146,2026-05-21 02:49:05
xrp,XRP,XRP,1.3825055741,85478999934.43208,1163700702.5166132,2026-05-21 02:49:05
usd-coin,USDC,USDC,1.000625225292458,76395420094.57576,5281515167.749753,2026-05-21 02:49:05
solana,SOL,Solana,86.67,50083327673.61186,2270700728.265447,2026-05-21 02:49:05
tron,TRX,TRON,0.3594467709999999,34076819955.691315,457843782.8636291,2026-05-21 02:49:05
steth,STETH,Lido Staked ETH,2142.9,18986959772.4024,8279161.503240872,2026-05-21 02:49:05
dogecoin,DOGE,Dogecoin,0.10509,16217794231.86358,473736794.9710988,2026-05-21 02:49:05
bitcoin,BTC,Bitcoin,77623.39999999998,1554992157721.2,20624753503.86451,2026-05-22 02:49:35
ethereum,ETH,Ethereum,2137.21,257930510712.45657,8994899360.833069,2026-05-22 02:49:35
tether,USDT,Tether USDt,0.999339665228064,189716999997.5139,505691860.9356322,2026-05-22 02:49:35
binance-coin,BNB,BNB,659.549178,88897398224.76787,633260510.0529714,2026-05-22 02:49:35
xrp,XRP,XRP,1.3727349895499998,84874894018.51016,1300117396.214778,2026-05-22 02:49:35
usd-coin,USDC,USDC,1.0006784240887687,76985139977.79826,3797736608.8685527,2026-05-22 02:49:35
solana,SOL,Solana,87.14,50365279262.74857,2412986832.99383,2026-05-22 02:49:35
tron,TRX,TRON,0.3647240999999999,34577311333.88706,543502185.5386465,2026-05-22 02:49:35
steth,STETH,Lido Staked ETH,2137.23,18932173443.16638,5519693.304674797,2026-05-22 02:49:35
dogecoin,DOGE,Dogecoin,0.105952,16352095179.726332,644701535.5265324,2026-05-22 02:49:35
bitcoin,BTC,Bitcoin,75460.0,1511688972640.0,24327087338.146446,2026-05-23 02:34:31
ethereum,ETH,Ethereum,2065.95,249330391506.59644,9328239030.32653,2026-05-23 02:34:31
tether,USDT,Tether USDt,0.9991,189681992197.24747,493219039.59876853,2026-05-23 02:34:31
binance-coin,BNB,BNB,649.94787,87603233140.68942,690463148.4552135,2026-05-23 02:34:31
xrp,XRP,XRP,1.337575,82700985427.6565,1475354605.4704587,2026-05-23 02:34:31
usd-coin,USDC,USDC,1.0008055703262122,76581711547.80067,4581844205.457131,2026-05-23 02:34:31
solana,SOL,Solana,84.324,48737623477.97523,2264826217.5460443,2026-05-23 02:34:31
tron,TRX,TRON,0.362841864,34399176558.02453,538934298.3534609,2026-05-23 02:34:31
steth,STETH,Lido Staked ETH,2066.3,18307896365.815968,6585933.171880841,2026-05-23 02:34:31
dogecoin,DOGE,Dogecoin,0.10159,17276420099.22917,664278263.5824995,2026-05-23 02:34:31
bitcoin,BTC,Bitcoin,76789.69999999998,1538374825027.3,24281819125.194286,2026-05-24 02:45:49
ethereum,ETH,Ethereum,2121.722043939697,256061170540.73785,11472381883.799559,2026-05-24 02:45:49
tether,USDT,Tether USDt,0.99906078,189542955911.3565,211565813.29228497,2026-05-24 02:45:49
binance-coin,BNB,BNB,656.9,88540251443.852,679284502.7908423,2026-05-24 02:45:49
xrp,XRP,XRP,1.3602520456719132,84142908015.34161,1412892219.6783664,2026-05-24 02:45:49
usd-coin,USDC,USDC,1.00092,76541829406.27174,2141591696.0234768,2026-05-24 02:45:49
solana,SOL,Solana,85.85413224299998,49632205952.587234,2710836210.6479163,2026-05-24 02:45:49
tron,TRX,TRON,0.3623,34348596574.06939,497332351.97674894,2026-05-24 02:45:49
